date,open,high,low,close,volume,TR,ATR,Upper,Lower,Buy_Signal,Sell_Signal,Profit_Target,Stop_Loss
2024-03-21 09:15:00+05:30,678.0,684.95,675.85,678.6,5031,9.100000000000023,,,,False,False,,
2024-03-21 09:20:00+05:30,678.6,680.0,677.9,677.9,2229,2.1000000000000227,,,,False,False,,
2024-03-21 09:25:00+05:30,677.9,682.0,677.9,681.4,6280,4.100000000000023,,,,False,False,,
2024-03-21 09:30:00+05:30,680.65,680.65,677.8,678.9,1554,3.6000000000000227,,,,False,False,,
2024-03-21 09:35:00+05:30,678.9,682.0,678.75,681.0,3515,3.25,,,,False,False,,
2024-03-21 09:40:00+05:30,680.2,682.45,680.0,681.5,2339,2.4500000000000455,,,,False,False,,
2024-03-21 09:45:00+05:30,681.5,682.0,680.2,681.05,651,1.7999999999999545,,,,False,False,,
2024-03-21 09:50:00+05:30,681.05,681.85,680.25,680.3,1155,1.6000000000000227,,,,False,False,,
2024-03-21 09:55:00+05:30,680.3,682.95,680.3,681.7,1888,2.650000000000091,,,,False,False,,
2024-03-21 10:00:00+05:30,681.35,683.95,680.95,683.95,1335,3.0,,,,False,False,,
2024-03-21 10:05:00+05:30,683.95,685.0,682.05,683.45,5359,2.9500000000000455,,,,False,False,,
2024-03-21 10:10:00+05:30,683.45,684.35,682.65,684.1,677,1.7000000000000455,,,,False,False,,
2024-03-21 10:15:00+05:30,684.1,684.1,682.05,682.7,575,2.050000000000068,,,,False,False,,
2024-03-21 10:20:00+05:30,682.7,682.7,681.55,681.6,494,1.150000000000091,,,,False,False,,
2024-03-21 10:25:00+05:30,681.6,681.6,679.35,679.75,2080,2.25,,,,False,False,,
2024-03-21 10:30:00+05:30,679.45,680.0,678.05,679.6,1451,1.9500000000000455,,,,False,False,,
2024-03-21 10:35:00+05:30,679.6,679.75,679.0,679.0,169,0.75,,,,False,False,,
2024-03-21 10:40:00+05:30,679.0,679.8,678.6,678.65,750,1.1999999999999318,,,,False,False,,
2024-03-21 10:45:00+05:30,678.65,679.65,678.2,679.2,474,1.4499999999999318,,,,False,False,,
